,summary
Funny Cat,The video is about a humorous cat performing silly actions around the house.
Comedy Skit,The video is about a short comedy sketch performed by actors.
Cooking Tips,The video is about a chef demonstrates how to prepare a simple pasta dish.
Yoga Basics,The video is about a beginner yoga instructor guides through calming poses.
Match Highlights,The video is about highlights from a recent competitive football match.
Goal Compilation,The video is about a series of impressive goals scored in soccer.
World Headlines,The video is about top international stories from around the world.
Politics Roundup,The video is about political developments in major global economies.
Wildlife Documentary,"The video is about animals in their natural habitat, hunting or interacting."
History of Medicine,The video is about how modern medicine evolved from ancient practices.
